Experiment,Site,Date,ID,Session,Trial,Choice,Notes
Reversal,Sacramento,21-Jan.-21,Chocolate,1,1,1,
Reversal,Sacramento,21-Jan.-21,Chocolate,1,2,1,
Reversal,Sacramento,21-Jan.-21,Chocolate,1,3,1,
Reversal,Sacramento,21-Jan.-21,Chocolate,1,4,1,Baited ground with 1/2 mealworm
Reversal,Sacramento,21-Jan.-21,Chocolate,1,5,1,Baited ground with 1/2 mealworm
Reversal,Sacramento,21-Jan.-21,Chocolate,1,6,-1,Baited ground with 1/2 mealworm; Did not come down in 5 minutes
Reversal,Sacramento,22-Jan.-21,Chocolate,2,6,1,Baited ground with 1/2 mealworm @13:38 (3min)
Reversal,Sacramento,22-Jan.-21,Chocolate,2,7,0,
Reversal,Sacramento,22-Jan.-21,Chocolate,2,8,-1,Baited ground with 1/2 mealworm. @3min (13:45); didn't come down within 5 mins.
Reversal,Sacramento,22-Jan.-21,Chocolate,3,8,0,
Reversal,Sacramento,22-Jan.-21,Chocolate,3,9,0,Baited with 1/2 mealworm @15:17
Reversal,Sacramento,22-Jan.-21,Chocolate,3,10,1,
Reversal,Sacramento,22-Jan.-21,Chocolate,3,11,-1,Baited with 1/2 mealworm. Baited after 5 mins. Did not come down within 3 mins after baiting
Reversal,Sacramento,24-Jan.-21,Chocolate,4,11,-1,Baited with 1/2 mealworm after 3mins. Did not come down in 5mins.
Reversal,Sacramento,24-Jan.-21,Chocolate,5,11,-1,Baited with 1/2 mealworm after 3mins. Came down @12:14 but didn't look in tube or take bait MW. Did not make a choice after 10min
Reversal,Sacramento,25-Jan.-21,Chocolate,6,11,-1,Baited with 1/2 mealworm after 3 mins. Did not come down within 5 mins.
Reversal,Sacramento,25-Jan.-21,Chocolate,7,11,0,
Reversal,Sacramento,25-Jan.-21,Chocolate,7,12,0,Baited with 1/2 mealworm after 3 mins
Reversal,Sacramento,25-Jan.-21,Chocolate,7,13,-1,Baited with 1/2 mealworm after 3 mins. Did not come down after 5 min.
Reversal,Sacramento,26-Jan.-21,Chocolate,8,13,-1,Baited with 1/2 mealworm after 5 mins. Did not come down after 10mins.
Reversal,Sacramento,26-Jan.-21,Chocolate,9,13,-1,Baited with 1/2 mealworm after 3 mins. Did not come down after 5 mins.
Reversal,Sacramento,27-Jan.-21,Chocolate,10,13,1,Baited with 1/2 mealworm after 5 mins.
Reversal,Sacramento,27-Jan.-21,Chocolate,10,14,-1,Baited with 1/2 mealworm after 3 mins. Did not come down within 5 mins. Had to test other birds.
Reversal,Sacramento,28-Jan.-21,Chocolate,11,14,-1,"Table in aviary now. Participated in a 1 yellow tube trial immediately before reversal trials. Came down immediately walked across table and didn't look in either tube. Baited table with MW at 3min. Took bait, did not look in tubes."
Reversal,Sacramento,28-Jan.-21,Chocolate,12,14,1,"Tipped light grey tube, scared herself and did not take MW"
Reversal,Sacramento,28-Jan.-21,Chocolate,12,15,-1,"NOT baiting because she previously took bait and didn't look in tube. Giving her 10mins instead. Did not come down. Sitting on perch, leg up."
Reversal,Sacramento,29-Jan.-21,Chocolate,13,15,-1,"Came down immediately and got on table but didnt make a choice. @10:44 flew to ground. Didn't come back up to table to choose, started picking at ground."
Reversal,Sacramento,31-Jan.-21,Chocolate,14,15,1,
Reversal,Sacramento,31-Jan.-21,Chocolate,14,16,-1,"@10:53 when to ground and foraged, but didn't find much. Try MD in tube with MW next time. Came to table @10:58 but went to perch and did not look in tubes."
Reversal,Sacramento,31-Jan.-21,Chocolate,15,16,-1,One MW and one piece of MD in light grey tube; Did not come down in 10min
Reversal,Sacramento,1-Feb.-21,Chocolate,16,16,-1,Did not come down within 10 mins.
Reversal,Sacramento,1-Feb.-21,Chocolate,17,16,-1,Did not come down within 10 mins.
Reversal,Sacramento,2-Feb.-21,Chocolate,18,16,-1,Trying more frequent 5 min sessions. Used more MW in tube.
Reversal,Sacramento,2-Feb.-21,Chocolate,19,16,-1,Added more MD and MW in tube. Did not come down in 5 mins. Try no table tomorrow
Reversal,Sacramento,3-Feb.-21,Chocolate,20,16,-1,"Trying no table, 5 minute session, loaded light grey tube with MD and MW. Didn’t come down in 5 m"
Reversal,Sacramento,3-Feb.-21,Chocolate,21,16,-1,"no table, 5 min session, loaded light grey tube with MD and MW. Did not come down in 5 mins."
Reversal,Sacramento,3-Feb.-21,Chocolate,22,16,-1,"no table, 5 min session, loaded light grey tube with MD and MW"
Reversal,Sacramento,3-Feb.-21,Chocolate,23,16,-1,"no table, 10 min session, loaded light grey tube with MD and MW"
Reversal,Sacramento,4-Feb.-21,Chocolate,24,16,-1,"No table, 5 min session, loaded light grey tube with MW, spaced tubes farther apart and moved items away from tubes. Did not come down"
Reversal,Sacramento,4-Feb.-21,Chocolate,25,16,-1,"Trying table again, 5 min session, loaded light grey tube with MW. Did not come down in 5 mins"
Reversal,Sacramento,4-Feb.-21,Chocolate,26,16,-1,MD and MW in light grey tube.
Reversal,Sacramento,5-Feb.-21,Chocolate,27,16,-1,Did not come down in 5 mins.
Reversal,Sacramento,5-Feb.-21,Chocolate,28,16,-1,Sat more to the right to be less out of sight. Didn't come down in 5 mins
Reversal,Sacramento,5-Feb.-21,Chocolate,29,16,-1,Didn't come down in 5 mins. STOPPED TRYING TO TEST HER and released her from the aviaries without completing this experiment
Reversal,Sacramento,24-Jan.-21,Flan,1,1,0,
Reversal,Sacramento,24-Jan.-21,Flan,1,2,1,
Reversal,Sacramento,24-Jan.-21,Flan,1,3,1,
Reversal,Sacramento,24-Jan.-21,Flan,1,4,0,
Reversal,Sacramento,24-Jan.-21,Flan,1,5,1,
Reversal,Sacramento,24-Jan.-21,Flan,1,6,0,Right side bias
Reversal,Sacramento,24-Jan.-21,Flan,1,7,0,
Reversal,Sacramento,24-Jan.-21,Flan,1,8,1,Snuck over and peaked in light grey
Reversal,Sacramento,24-Jan.-21,Flan,1,9,0,
Reversal,Sacramento,24-Jan.-21,Flan,1,10,0,
Reversal,Sacramento,24-Jan.-21,Flan,1,11,1,
Reversal,Sacramento,24-Jan.-21,Flan,1,12,1,
Reversal,Sacramento,24-Jan.-21,Flan,1,13,0,
Reversal,Sacramento,24-Jan.-21,Flan,1,14,0,
Reversal,Sacramento,24-Jan.-21,Flan,1,15,1,
Reversal,Sacramento,24-Jan.-21,Flan,1,16,0,
Reversal,Sacramento,24-Jan.-21,Flan,1,17,0,
Reversal,Sacramento,25-Jan.-21,Flan,2,18,1,
Reversal,Sacramento,25-Jan.-21,Flan,2,19,0,Forgot to say. trial 19
Reversal,Sacramento,25-Jan.-21,Flan,2,20,0,"Accidentally said trial 19, snuck a peak at"
