Batch,Bird,Name,First experiment,First rewarded color,Demonstrate,Batch,Bird,Name,First experiment,First rewarded color,Demonstrate
1,1,Xango,Multiaccess,Light gray,Plank,4,1,Bacmut bacni,Reversal,Light gray,Plank
1,2,Flan,Reversal,Dark gray,Plank,4,2,Changa,Reversal,Light gray,Plank
1,3,Camote,Multiaccess,Dark gray,Plank,4,3,Cutuy,Multiaccess,Light gray,Plank
1,4,Tembleque,Multiaccess,Dark gray,Log,4,4,Xunub,Reversal,Dark gray,Plank
1,5,Polvorones,Multiaccess,Light gray,Plank,4,5,Urraca,Multiaccess,Dark gray,Plank
1,6,Dulce de Leche,Reversal,Light gray,Log,4,6,Cocinera,Multiaccess,Light gray,Plank
1,7,Alegria,Reversal,Dark gray,Log,4,7,Tzanatl preciosa,Multiaccess,Dark gray,Plank
1,8,Helado,Reversal,Light gray,Log,4,8,Quiscalus,Reversal,Dark gray,Plank
2,1,Zapote Negro,Multiaccess,Light gray,Plank,5,1,Verbena,Reversal,Light gray,NA
2,2,Piña,Multiaccess,Light gray,*Plank,5,2,Cocoplum,Reversal,Light gray,NA
2,3,-,Reversal,Dark gray,Plank,5,3,,Multiaccess,Dark gray,NA
2,4,Carlota,Reversal,Light gray,Plank,5,4,,Multiaccess,Light gray,NA
2,5,-,Reversal,Light gray,Plank,5,5,,Reversal,Light gray,NA
2,6,Buñuelo,Multiaccess,Dark gray,Plank,5,6,,Reversal,Dark gray,NA
2,7,-,Multiaccess,Dark gray,Plank,5,7,,Multiaccess,Dark gray,NA
2,8,-,Reversal,Dark gray,Plank,5,8,,Multiaccess,Dark gray,NA
3,1,Ak’xi’,Reversal,Dark gray,Plank,6,1,,Reversal,Light gray,NA
3,2,Kau,Multiaccess,Dark gray,Plank,6,2,,Multiaccess,Light gray,NA
3,3,Galandra,Multiaccess,Dark gray,Plank,6,3,,Reversal,Light gray,NA
3,4,Kel,Multiaccess,Dark gray,Plank,6,4,,Multiaccess,Dark gray,NA
3,5,Cuervo,Reversal,Light gray,Plank,6,5,,Multiaccess,Light gray,NA
3,6,-,Multiaccess,Light gray,Plank,6,6,,Reversal,Dark gray,NA
3,7,Wachil,Reversal,Light gray,Plank,6,7,,Reversal,Dark gray,NA
3,8,Talingo,Reversal,Light gray,Plank,6,8,,Multiaccess,Dark gray,NA
