N,id,sitediff,manipeffect,num_crosseszero
15,1,0,0,7
15,2,0,0.25,6
15,3,0,0.5,8
15,4,0.001,0,9
15,5,0.001,0.25,8
15,6,0.001,0.5,7
15,7,0.05,0,1
15,8,0.05,0.25,1
15,9,0.05,0.5,3
15,10,0.1,0,0
15,11,0.1,0.25,0
15,12,0.1,0.5,1
15,13,0.2,0,0
15,14,0.2,0.25,0
15,15,0.2,0.5,0
20,1,0,0,8
20,2,0,0.25,6
20,3,0,0.5,4
20,4,0.001,0,10
20,5,0.001,0.25,5
20,6,0.001,0.5,7
20,7,0.05,0,1
20,8,0.05,0.25,1
20,9,0.05,0.5,3
20,10,0.1,0,0
20,11,0.1,0.25,0
20,12,0.1,0.5,1
20,13,0.2,0,0
20,14,0.2,0.25,0
20,15,0.2,0.5,0
