Name,BirdID,Coordinates,FirstRelocation,Sex,Age,Population,Lat,Lon
Batido,S10OP,"34.417540, -119.663055","34.417540, -119.663055",M,A,SantaBarbara,34.41754,-119.663055
Cerveza,S4BO,"34.421709, -119.657783","34.421709, -119.657783",F,A,SantaBarbara,34.421709,-119.657783
Charlie,S1WWWW,"34.419671, -119.664043","34.419671, -119.664043",F,J,SantaBarbara,34.419671,-119.664043
Chicha,S9BR,"34.417540, -119.663055","34.417540, -119.663055",F,A,SantaBarbara,34.41754,-119.663055
Horchata,S7GR,"34.417540, -119.663055","34.417540, -119.663055",F,A,SantaBarbara,34.41754,-119.663055
Jugo,S11RB,"34.417540, -119.663055","34.417540, -119.663055",M,A,SantaBarbara,34.41754,-119.663055
Margarita,S3PB,"34.421709, -119.657783","34.421709, -119.657783",F,A,SantaBarbara,34.421709,-119.657783
Michelada,S5OR,"34.421709, -119.657783","34.421709, -119.657783",F,A,SantaBarbara,34.421709,-119.657783
Mojito,S6RG,"34.421709, -119.657783","34.421709, -119.657783",M,A,SantaBarbara,34.421709,-119.657783
Refresco,S8PY,"34.417540, -119.663055","34.417540, -119.663055",M,A,SantaBarbara,34.41754,-119.663055
Tequila,S2YP,"34.421709, -119.657783","34.421709, -119.657783",M,A,SantaBarbara,34.421709,-119.657783
Abeja,A079YL,NA,"33.4169, -111.9268",F,J,Tempe,33.4169,-111.9268
Adobo,A073OL,NA,"33.4237069, -111.9348069",M,A,Tempe,33.4237069,-111.9348069
Ahumada Asada,A081LL,NA,"33.4204, -111.9266",F,A,Tempe,33.4204,-111.9266
Al Pastor,A011-A,"33.422200, -111.919458",NA,M,A,Tempe,33.4222,-111.919458
Alma,A095GB,"33.419480, -111.926639",NA,F,A,Tempe,33.41948,-111.926639
Aquaman,A047AY,"33.420431, -111.927529","33.4189889, -111.9269",M,A,Tempe,33.4189889,-111.9269
Avocada,A046NG,"33.420082, -111.926550","33.4196963, -111.9273431",F,A,Tempe,33.4196963,-111.9273431
Azucara,A080KS,NA,"33.4209751, -111.9356003",F,J,Tempe,33.4209751,-111.9356003
Becky,A027BK,"33.4223020778824, -111.9337442","33.4223222, -111.9329",F,J,Tempe,33.4223222,-111.9329
Birria,A038PG,"33.419702, -111.930282","33.418431, -111.930344",F,A,Tempe,33.418431,-111.930344
Botana,A012RB,"33.422200, -111.919458",NA,F,A,Tempe,33.4222,-111.919458
Calabazo,A041-O,"33.409924, -111.934790","33.4103556, -111.934425",M,A,Tempe,33.4103556,-111.934425
Cebollita,A052GA,"33.4217249, -111.9329267","33.4218, -111.9327",F,A,Tempe,33.4218,-111.9327
Cemita,A051KG,"33.419480, -111.926639","33.4206, -111.9270",F,A,Tempe,33.4206,-111.927
Ceviche,A020YG,"33.4193933, -111.9267150","33° 25' 7.24"", 111°55'37.7""",F,A,Tempe,33.41867778,-111.9271389
Chalupa,A025GO,NA,NA,F,A,Tempe,33.4187861,-111.9363444
Chancaca,A049BA,"33.420082, -111.926550","33.4208, -111.9257",F,A,Tempe,33.4208,-111.9257
Chilaquile,A086GB,NA,"33.4183777, -111.9362607",M,A,Tempe,33.4183777,-111.9362607
Cochinita,A039YR,"33.419702, -111.930282","33.41966111, -111.9303917",F,A,Tempe,33.41966111,-111.9303917
Concha,A093AO,NA,"33.4217855, -111.9362107",F,A,Tempe,33.4217855,-111.9362107
Conejita,A067GK,"33.4203, -111.9363",NA,F,J,Tempe,33.4203,-111.9363
Crema,A058BS,"33.420431, -111.927529","33.4207848, -111.9291276",F,A,Tempe,33.4207848,-111.9291276
Cúrcuma,A083YK,"33.42357986, -111.9349941",NA,F,J,Tempe,33.42357986,-111.9349941
Elote,A091YO,NA,"33.4215984, -111.9361433",F,A,Tempe,33.4215984,-111.9361433
Empanada,A001YP,"33.422200, -111.919458",NA,F,A,Tempe,33.4222,-111.919458
Enchilada,A069ON,NA,"33.4203, -111.9363",F,A,Tempe,33.4203,-111.9363
Ensalada,A048NR,"33.418529, -111.937009",NA,F,A,Tempe,33.418529,-111.937009
Fajita,A002PB,NA,"33.422389, -111.931164",F,A,Tempe,33.422389,-111.931164
Fideo,A044KS,"33.420431, -111.927529","33.4188749, -111.9300296",M,A,Tempe,33.4188749,-111.9300296
Flauta,A005RG,"33.422200, -111.919458",NA,F,A,Tempe,33.4222,-111.919458
Fresca,A037BY,"33.409864, -111.934386",NA,F,A,Tempe,33.409864,-111.934386
Frijoles,A072KB,NA,"33.416549, -111.9302667",F,A,Tempe,33.416549,-111.9302667
Galleta,A059NB,"33.418170, -111.936097","33.41757419, -111.9368562",F,A,Tempe,33.41757419,-111.9368562
Gordita,A003BO,"33.4226846, -111.9244274",NA,F,A,Tempe,33.4226846,-111.9244274
Guacamole,A098RR,NA,"33.4203357, -111.9249679",M,A,Tempe,33.4203357,-111.9249679
Guapo,A055YO,"33.422200, -111.919458","33.4222137, -111.9200966",M,A,Tempe,33.4222137,-111.9200966
Habanero,A036R-,"33.409864, -111.934386","33.4105101, -111.933097",M,A,Tempe,33.4105101,-111.933097
