"","ID.2","Site","ID.1","x","Y.1","Y.2","hwi"
"1","Burrito","AZ","Adobo",2,9,9,0.181818181818182
"2","Chalupa","AZ","Adobo",1,10,7,0.105263157894737
"3","Cuervo","CA","Camote",1,13,20,0.0571428571428571
"4","Diablo","AZ","Adobo",1,10,3,0.133333333333333
"5","Dulce de Leche","CA","Cuervo",1,20,15,0.0540540540540541
"6","Dulce de Leche","CA","Camote",1,13,15,0.0666666666666667
"7","Fideo","AZ","Aquaman",2,9,15,0.142857142857143
"8","Kel","CA","Cutuy",1,13,10,0.08
"9","Morada","AZ","Adobo",1,10,7,0.105263157894737
"10","Naranja","AZ","Fideo",1,16,11,0.0689655172413793
"11","Pico","AZ","Chilaquile",2,7,4,0.266666666666667
"12","Pina","CA","Camote",1,13,15,0.0666666666666667
"13","Pina","CA","Dulce de Leche",1,15,15,0.0625
"14","Pina","CA","Cutuy",1,13,15,0.0666666666666667
"15","Pina","CA","Galandra",1,11,15,0.0714285714285714
"16","Taco","AZ","Adobo",3,8,13,0.222222222222222
"17","Taco","AZ","Guapo",1,0,15,0.117647058823529
"18","Taco","AZ","Chalupa",1,7,15,0.0833333333333333
"19","Taco","AZ","Morada",1,7,15,0.0833333333333333
"20","Taquito","AZ","Pepino",1,14,8,0.0833333333333333
"21","Taquito","AZ","Naranja",1,11,8,0.0952380952380952
"22","Tembleque","CA","Camote",1,13,11,0.0769230769230769
"23","Tortilla","AZ","Fideo",1,16,11,0.0689655172413793
"24","Tortilla","AZ","Taquito",1,8,11,0.0952380952380952
"25","Tzanatl Preciosa","CA","Cutuy",1,13,6,0.0952380952380952
"26","Tzanatl Preciosa","CA","Tembleque",1,11,6,0.105263157894737
"27","Urraca","CA","Pina",1,15,21,0.0526315789473684
"28","Urraca","CA","Tembleque",1,11,21,0.0588235294117647
"29","Wachil","CA","Kau",1,11,16,0.0689655172413793
"30","Wachil","CA","Cuervo",1,20,16,0.0526315789473684
