,Name,SMI,Site
1,Abeja,90.24263023,AZ
2,Ahumada Asada,94.49714741,AZ
3,Alma,82.97894022,AZ
4,Avocada,100.9254315,AZ
5,Azucara,95.34606664,AZ
6,Becky,82.071345,AZ
7,Birria,92.40699462,AZ
8,Botana,85.07305416,AZ
9,Cebollita,104.3961173,AZ
10,Cemita,95.05669751,AZ
11,Ceviche,94.22724559,AZ
12,Chalupa,94.11026147,AZ
13,Chancaca,84.77097521,AZ
14,Chimichanga,100.5557951,AZ
15,Cochinita,87.07883603,AZ
16,Concha,89.69952028,AZ
17,Conejita,87.85978948,AZ
18,Crema,97.03704538,AZ
19,Cúrcuma ,83.85743913,AZ
20,Elote,89.47932767,AZ
21,Empanada,94.06642161,AZ
22,Enchilada,72.97592666,AZ
23,Ensalada ,93.21766199,AZ
24,Fajita,93.2470174,AZ
25,Flauta,98.73580984,AZ
26,Fresca,91.65345293,AZ
27,Frijoles,99.48758059,AZ
28,Galleta,90.21757557,AZ
29,Gordita,90.35852813,AZ
30,Jamaica,98.13103462,AZ
31,Kentucky,92.52997795,AZ
32,Lechuga,95.08164877,AZ
33,Limon ,95.743675,AZ
34,Mangonada,97.98585585,AZ
35,Memela,94.90614713,AZ
36,Migas,87.16569017,AZ
37,Morada,95.49252391,AZ
38,Naranja,98.42355131,AZ
39,Nopal,119.449975,AZ
40,Paella,102.612018,AZ
41,Palomita,89.11565392,AZ
42,Pan Dulce,99.47068149,AZ
43,Papa,103.8824374,AZ
44,Peggy,79.05725388,AZ
45,Pinto beans,82.71597072,AZ
46,Platana,88.66475338,AZ
47,Pozole,100.0227286,AZ
48,Pupusa,91.21990832,AZ
49,Quesadilla,91.513165,AZ
50,Ranchera,81.69154759,AZ
51,Roja,100.1331226,AZ
52,Salsa,101.6157848,AZ
53,Shakira,82.45575199,AZ
54,Sincronizada,105.0743816,AZ
55,Sofrita,98.85567232,AZ
56,Tajin,99.31881941,AZ
57,Tamale,103.7069346,AZ
58,Tapa,88.84708881,AZ
59,Torta,88.98103446,AZ
60,Tortilla,94.77636793,AZ
61,Tostada,99.16772552,AZ
62,Tripa,110.9604485,AZ
63,Uva,88.93854001,AZ
64,Yerba,103.7118721,AZ
65,Yuca,93.07634965,AZ
66,Adobo,145.5592336,AZ
67,Al Pastor,170.8233999,AZ
68,Aquaman,147.6953554,AZ
69,Burrito,177.231498,AZ
70,Calabazo,173.9746347,AZ
71,Chilaquile,145.2870291,AZ
72,Chile,175.1626444,AZ
73,Diablo,175.1271015,AZ
74,Fideo,168.8370813,AZ
75,Guacamole,163.7369875,AZ
76,Guapo,188.52158,AZ
77,Habanero,154.5283485,AZ
78,Huachinango,165.7805009,AZ
79,Marisco,143.9775144,AZ
80,Mixiote,159.6940989,AZ
81,Mofongo,173.1388666,AZ
82,Mole,163.2173207,AZ
83,Nacho,173.3284837,AZ
84,Pavo,165.2971442,AZ
85,Pepino,128.0361886,AZ
86,Pernil,169.5931764,AZ
87,Picante,150.5859516,AZ
88,Pico,71.00755359,AZ
89,Pizza,158.3673158,AZ
90,Pollito,170.8233999,AZ
91,Queso,156.0403308,AZ
92,Taco,143.1137277,AZ
93,Taquito,157.6079742,AZ
94,Tomatillo,199.042043,AZ
95,Flan,104.6549609,CA
96,Chocolate,104.1973821,CA
97,Alegria,109.1405205,CA
98,Sopapilla,109.3639806,CA
99,Pina,116.5271158,CA
100,Tres Leches,96.1907615,CA
101,Carlota,104.6437614,CA
102,Galandra,100.6272993,CA
103,Kel,113.4723457,CA
104,Wachil,98.1310404,CA
105,Zanate,107.0138257,CA
106,Changa,107.7159519,CA
107,Cocinera,113.338879,CA
108,Tzanatl,116.9400888,CA
109,Cutuy,113.5702943,CA
110,Quiscalus,98.86350261,CA
111,Xango,191.0530802,CA
112,Churro,169.4032923,CA
113,Tembleque,169.0141153,CA
114,Polvorones,180.6874288,CA
115,Camote,180.4676447,CA
116,Helado,197.2502114,CA
117,Zapote,216.6647017,CA
118,Merengue,184.3662537,CA
119,Bunuelo,188.3707611,CA
120,Dulce,207.0010454,CA
121,Kau,171.2810744,CA
122,Akxi,173.4332409,CA
123,Cuervo,175.4124997,CA
124,Talingo,173.67946,CA
125,Bacmut,174.9433796,CA
126,Xunub,178.661274,CA
127,Urraca,180.8741543,CA
