,Analysis1,,,,,Analysis2,Analysis3,Analysis4
Variable,P1eplorationenv,P2explorationobject,P3persistence,P4boldness,P5motordiversity,P3,P6repeatability,P7captivevswild
The **number of trials to reverse** a preference in the last reversal that individual participated in (an individual is considered to have a preference if it chose the rewarded option at least 17 out of the most recent 20 trials (with a minimum of 8 or 9 correct choices out of 10 on the two most recent sets of 10 trials)). See behavioral flexibility [preregistration](./g_flexmanip.html) for details.,DV,DV,DV,DV,DV,,,
"The **ratio of correct divided by incorrect trials** for the first 40 trials in their final reversal after the individual has seen the newly rewarded option once. These 40 trials include trials where individuals were offered the test and chose not to participate (i.e., make a choice). This accounts for flexibility that can occur when some individuals inhibit their previously rewarded preference (thus exhibiting flexibility because they changed their behavior when circumstances changed), but are not as exploratory as those who have fewer 'no choice' trials. 'No choice' data is data that is otherwise excluded from standard reversal learning analyses. Including 'no choice' trials, controls for individual differences in exploration because those that refuse to choose are not exploring new options, which would allow them to learn the new food location.",DV,DV,DV,DV,DV,,,
"If the number of trials to reverse a preference does not positively correlate with the latency to attempt or solve new loci on the multi-access box (an additional measure of behavioral flexibility), then the **average latency to solve** and the **average latency to attempt** a new option on the multi-access box will be additional dependent variables. See behavioral flexibility [preregistration](./g_flexmanip.html).",DV,DV,DV,DV,DV,,,
"**Flexibility comprehensive**: This measure is currently being developed and is intended be a more accurate representation of all of the choices an individual made, as well as accounting for the degree of uncertainty exhibited by individuals as preferences change. If this measure more effectively represents flexibility (determined using a modeled dataset and not the actual data), we may decide to solely rely on this measure and not use independent variables 1-3. If this ends up being the case, we will modify the code in the analysis plan below to reflect this change before conducting analyses of the data in this preregistration.",DV,DV,DV,DV,DV,,,
The number of incorrect choices in the final reversal before making the first correct choice,,,,,,DV,,
Boldness: In captivity it will be the latency to land on the table - OR - Latency to eat the food - OR - Latency to touch a threatening object that is next to food (we will choose the variable with the most data); In the wild the dependent variable will be the latency to come within 2m - OR - Latency to eat the food - OR - Latency to touch a threatening object that is next to food (we will choose the variable with the most data),,IV,,IV,,,DV,DV
"Persistence: Number of touches to an apparatus per time (multi-access box in the behavioral flexibility [preregistration](./g_flexmanip.html), novel environment in P1, and objects in P2 and P4)",,,,,,,DV,DV
Exploration of novel environment: Latency to enter a novel environment set inside a familiar environment,IV,,,,,,DV,DV
"Exploration of novel object: Latency to land on the table next to an object (novel, familiar) (that does not contain food) in a familiar environment (that contains maintenance diet away from the object) - OR - latency to touch an object (novel, familiar) (choose the variable with the most data). *Note: if this and the previous exploration variable are consistent within individuals, and correlate, we will combine these variables into one exploration propensity score.*",,,,,,,DV,DV
Time spent in each of the different sections inside a novel environment or the corresponding areas on the floor when the novel environment is not present (familiar environment) as an interaction with the Environment Condition: activity in novel environment vs. activity in familiar environment,IV,,,,,,,
Time spent per section of a novel environment or in the corresponding areas on othe floor when the novel environment is not present (familiar environment) as an interaction with the Environment Condition: time spent in novel environment vs. time spent in familiar environment,IV,,,,,,,
Time spent exploring the outside of the novel environment (within 20cm) before entering it,IV,,,,,,,
"Number of touches to the functional part of an apparatus per time (multi-access box, novel environment in P1, novel objects in P2 and P4) ",,,IV,,,IV,,
Number of touches to the non-functional part of an apparatus per time ([multi-access box](./g_flexmanip.html)) ,,,IV,,,,,
Number of different motor actions used when attempting to solve the [multi-access box](./g_flexmanip.html),,,,,IV,,,
"Age (adult: after hatch year, juvenile: hatch year). NOTE: this variable will be removed if only adults are tested (and we are planning to test only adults).",,,,,,,,
"[Condition](./g_flexmanip.html): control, flexibility manipulation",,,,,,IV,IV,
Context: captive or wild,,,,,,,,IV
Number of times we attempted to assay boldness or exploration but failed due to lack of participation,,,,,,,,IV
Batch,RE,,,,,,,
Population,RE,,,,,,,
ID,,,,,,,RE,RE
