Bird,TrainingType,Duration,Passed,TrainingSpeed,PropNonTOCtestsbefore,PropTOCtestsParticipated
Fajita,1hopper,2,No,NA,0.0,0.0
Queso,1hopper,6,Yes,64,1.0,0.3
Mole,1hopper,25,Yes,37,1.0,1.0
Tomatillo,1hopper,5,Yes,8,1.0,NA
Habanero,1hopper,4,Yes,47,1.0,0.3
Chalupa,1hopper,5,No,NA,1.0,NA
Tapa,1hopper,2,Yes,5,1.0,0.3
Taco,1hopper,10,Yes,NA,1.0,NA
Adobo,1hopper,4,Yes,11,1.0,1.0
Diablo,1hopper,16,Yes,24,1.0,1.0
Burrito,1hopper,3,Yes,5,1.0,1.0
Marisco,1hopper,54,No,54,0.75,NA
Chilaquile,1hopper,3,Yes,6,1.0,1.0
Yuca,1hopper,6,Yes,12,1.0,1.0
Mole,2movingstim,2,No,,,
Tomatillo,2movingstim,2,No,,,
Queso,3whitesquare,58,Yes,,,
Mole,3whitesquare,12,Yes,,,
Tomatillo,3whitesquare,3,Yes,,,
Habanero,3whitesquare,43,Yes,,,
Tapa,3whitesquare,3,Yes,,,
Taco,3whitesquare,6,No,,,
Adobo,3whitesquare,7,Yes,,,
Diablo,3whitesquare,8,Yes,,,
Burrito,3whitesquare,2,Yes,,,
Chilaquile,3whitesquare,3,Yes,,,
Yuca,3whitesquare,6,Yes,,,
Mole,4trialstartkey,7,Yes,,,
Tomatillo,4trialstartkey,1,Yes,,,
